Алабама,STATENAME.Alabama
Аляска,STATENAME.Alaska
Аризона,STATENAME.Arizona
Арканзас,STATENAME.Arkansas
Калифорния,STATENAME.California
Колорадо,STATENAME.Colorado
Кънектикът,STATENAME.Connecticut
Делауеър,STATENAME.Delaware
Окръг Колумбия,STATENAME.District_Of_Columbia
Флорида,STATENAME.Florida
Джорджия,STATENAME.Georgia
Хаваи,STATENAME.Hawaii
Айдахо,STATENAME.Idaho
Илинойс,STATENAME.Illinois
Индиана,STATENAME.Indiana
Айова,STATENAME.Iowa
Канзас,STATENAME.Kansas
Кентъки,STATENAME.Kentucky
Луизиана,STATENAME.Louisiana
Мейн,STATENAME.Maine
Мериленд,STATENAME.Maryland
Масачузетс,STATENAME.Massachusetts
Мичиган,STATENAME.Michigan
Минесота,STATENAME.Minnesota
Мисисипи,STATENAME.Mississippi
Мисури,STATENAME.Missouri
Монтана,STATENAME.Montana
Небраска,STATENAME.Nebraska
Невада,STATENAME.Nevada
Ню Хампшир,STATENAME.New_Hampshire
Ню Джърси,STATENAME.New_Jersey
Ню Мексико,STATENAME.New_Mexico
Ню Йорк,STATENAME.New_York
Северна Каролина,STATENAME.North_Carolina
Северна Дакота,STATENAME.North_Dakota
Охайо,STATENAME.Ohio
Оклахома,STATENAME.Oklahoma
Орегон,STATENAME.Oregon
Пенсилвания,STATENAME.Pennsylvania
Род Айлънд,STATENAME.Rhode_Island
Южна Каролина,STATENAME.South_Carolina
Южна Дакота,STATENAME.South_Dakota
Тенеси,STATENAME.Tennessee
Тексас,STATENAME.Texas
Юта,STATENAME.Utah
Върмонт,STATENAME.Vermont
Вирджиния,STATENAME.Virginia
Вашингтон,STATENAME.Washington
Западна Вирджиния,STATENAME.West_Virginia
Уисконсин,STATENAME.Wisconsin
Уайоминг,STATENAME.Wyoming
